Sum of age,Sum of campaign,Sum of cons.conf.idx,Sum of cons.price.idx,contact,day_of_week,default,Sum of duration,education,Sum of emp.var.rate,Sum of euribor3m,housing,job,loan,marital,month,Sum of nr.employed,Sum of pdays,poutcome,Sum of previous,y
33,2,-46.2,92.893,cellular,fri,no,328,basic.4y,-1.8,1.313,no,blue-collar,yes,single,may,5099,999,failure,1,no
25,5,-46.2,92.893,cellular,fri,no,206,basic.4y,-1.8,1.25,no,blue-collar,yes,single,may,5099,999,nonexistent,0,no
44,2,-42.7,93.918,cellular,fri,no,170,basic.4y,1.4,4.963,no,entrepreneur,no,divorced,jul,5228,999,nonexistent,0,no
29,1,-42,93.2,cellular,fri,no,100,basic.4y,-0.1,4.021,no,entrepreneur,no,single,nov,5196,999,nonexistent,0,no
75,4,-47.1,93.075,cellular,fri,no,95,basic.4y,-1.8,1.405,no,housemaid,no,divorced,apr,5099,999,nonexistent,0,no
49,1,-47.1,93.075,cellular,fri,no,115,basic.4y,-1.8,1.479,no,housemaid,no,married,apr,5099,999,nonexistent,0,no
60,4,-38.3,94.027,cellular,fri,no,270,basic.4y,-1.7,0.905,no,housemaid,no,married,aug,4992,6,failure,4,no
176,16,-144.4,373.776,cellular,fri,no,652,basic.4y,5.6,19.858000000000004,no,housemaid,no,married,aug,20912,3996,nonexistent,0,no
79,1,-31.4,92.201,cellular,fri,no,126,basic.4y,-2.9,0.849,no,housemaid,no,married,aug,5076,3,success,2,yes
104,4,-85.4,187.836,cellular,fri,no,826,basic.4y,2.8,9.926,no,housemaid,no,married,jul,10456,1998,nonexistent,0,no
157,6,-126,279.6,cellular,fri,no,425,basic.4y,-0.30000000000000004,12.062999999999999,no,housemaid,no,married,nov,15588,2997,nonexistent,0,no
39,1,-49.5,94.601,cellular,fri,no,282,basic.4y,-1.1,0.972,no,housemaid,no,married,oct,4964,999,nonexistent,0,no
52,2,-42.7,93.918,cellular,fri,no,183,basic.4y,1.4,4.963,no,housemaid,yes,married,jul,5228,999,nonexistent,0,no
55,4,-46.2,92.893,cellular,fri,no,95,basic.4y,-1.8,1.313,no,management,no,married,may,5099,999,nonexistent,0,no
58,3,-42,93.2,cellular,fri,no,240,basic.4y,-0.1,4.021,no,management,no,married,nov,5196,999,nonexistent,0,no
87,1,-31.4,92.201,cellular,fri,no,273,basic.4y,-2.9,0.849,no,retired,no,divorced,aug,5076,999,nonexistent,0,yes
59,2,-46.2,92.893,cellular,fri,no,290,basic.4y,-1.8,1.25,no,retired,no,divorced,may,5099,999,nonexistent,0,no
77,2,-30.1,92.649,cellular,fri,no,90,basic.4y,-3.4,0.718,no,retired,no,divorced,nov,5018,999,nonexistent,0,no
76,1,-31.4,92.201,cellular,fri,no,61,basic.4y,-2.9,0.849,no,retired,no,married,aug,5076,999,failure,1,no
73,1,-31.4,92.201,cellular,fri,no,453,basic.4y,-2.9,0.881,no,retired,no,married,aug,5076,999,nonexistent,0,yes
63,1,-40.3,94.215,cellular,fri,no,273,basic.4y,-1.7,0.896,no,retired,no,married,jul,4992,999,nonexistent,0,no
80,3,-34.8,93.369,cellular,fri,no,213,basic.4y,-1.8,0.649,no,retired,no,married,mar,5009,6,success,4,yes
56,2,-42,93.2,cellular,fri,no,163,basic.4y,-0.1,4.021,no,retired,no,married,nov,5196,999,failure,1,no
54,1,-42,93.2,cellular,fri,no,18,basic.4y,-0.1,4.021,no,retired,no,married,nov,5196,999,nonexistent,0,no
65,5,-26.9,92.431,cellular,fri,no,176,basic.4y,-3.4,0.72,no,retired,no,married,oct,5018,999,nonexistent,0,no
72,1,-26.9,92.431,cellular,fri,no,155,basic.4y,-3.4,0.72,no,retired,no,married,oct,5018,6,success,1,no
65,2,-49.5,94.601,cellular,fri,no,187,basic.4y,-1.1,0.993,no,retired,no,married,oct,4964,7,success,3,yes
72,1,-29.8,92.379,cellular,fri,no,230,basic.4y,-3.4,0.803,no,retired,no,married,sep,5018,3,success,2,yes
80,5,-33,92.713,cellular,fri,no,720,basic.4y,-3,0.718,no,retired,yes,divorced,dec,5024,999,failure,1,no
83,2,-39.8,94.055,cellular,fri,no,472,basic.4y,-1.7,0.748,no,retired,yes,divorced,jun,4992,999,nonexistent,0,yes
75,1,-31.4,92.201,cellular,fri,no,714,basic.4y,-2.9,0.881,no,retired,yes,married,aug,5076,999,nonexistent,0,yes
79,1,-40.3,94.215,cellular,fri,no,464,basic.4y,-1.7,0.822,no,retired,yes,married,jul,4992,999,failure,1,yes
72,4,-40.3,94.215,cellular,fri,no,483,basic.4y,-1.7,0.822,no,retired,yes,married,jul,4992,8,success,1,yes
120,18,-138.60000000000002,278.679,cellular,fri,no,677,basic.4y,-5.4,3.75,no,services,no,divorced,may,15297,2997,nonexistent,0,no
50,1,-36.1,93.444,cellular,fri,no,95,basic.4y,1.4,4.966,no,services,no,married,aug,5228,999,nonexistent,0,no
96,4,-170.8,375.672,cellular,fri,no,908,basic.4y,5.6,19.852,no,student,no,single,jul,20912,3996,nonexistent,0,no
49,1,-42,93.2,cellular,fri,no,378,basic.4y,-0.1,4.021,no,technician,no,married,nov,5196,999,failure,1,no
38,2,-47.1,93.075,cellular,fri,no,244,basic.4y,-1.8,1.405,no,technician,yes,married,apr,5099,999,nonexistent,0,no
49,2,-42,93.2,cellular,fri,no,295,basic.4y,-0.1,4.021,no,technician,yes,married,nov,5196,999,nonexistent,0,no
46,3,-42,93.2,cellular,fri,no,366,basic.4y,-0.1,4.021,no,unemployed,no,divorced,nov,5196,3,success,1,no
62,9,-84,186.4,cellular,fri,no,196,basic.4y,-0.2,8.042,no,unemployed,no,single,nov,10392,1998,nonexistent,0,no
56,2,-49.5,94.601,cellular,fri,no,363,basic.4y,-1.1,0.972,no,unemployed,yes,divorced,oct,4964,5,success,3,yes
31,3,-42,93.2,cellular,fri,no,573,basic.4y,-0.1,4.021,no,unemployed,yes,single,nov,5196,999,nonexistent,0,no
34,2,-47.1,93.075,cellular,fri,no,83,basic.4y,-1.8,1.4,no,unknown,yes,married,apr,5099,999,nonexistent,0,no
42,1,-42.7,93.918,cellular,fri,no,467,basic.4y,1.4,4.963,unknown,blue-collar,unknown,married,jul,5228,999,nonexistent,0,no
46,2,-47.1,93.075,cellular,fri,no,163,basic.4y,-1.8,1.405,unknown,blue-collar,unknown,single,apr,5099,999,failure,1,no
60,1,-49.5,94.601,cellular,fri,no,272,basic.4y,-1.1,0.972,unknown,retired,unknown,married,oct,4964,10,failure,3,no
24,1,-42.7,93.918,cellular,fri,no,230,basic.4y,1.4,4.963,unknown,student,unknown,single,jul,5228,999,nonexistent,0,no
103,4,-94.2,186.15,cellular,fri,no,772,basic.4y,-3.6,2.81,yes,admin.,no,married,apr,10198,1998,failure,3,no
56,3,-42,93.2,cellular,fri,no,382,basic.4y,-0.1,4.021,yes,admin.,no,married,nov,5196,999,nonexistent,0,no
71,4,-40,93.876,cellular,fri,no,466,basic.4y,-1.8,0.684,yes,admin.,yes,married,may,5009,3,success,2,yes
34,1,-47.1,93.075,cellular,fri,no,406,basic.4y,-1.8,1.405,yes,blue-collar,no,divorced,apr,5099,999,failure,1,no
43,2,-42.7,93.918,cellular,fri,no,1242,basic.4y,1.4,4.963,yes,blue-collar,no,divorced,jul,5228,999,nonexistent,0,no
29,3,-46.2,92.893,cellular,fri,no,1223,basic.4y,-1.8,1.25,yes,blue-collar,no,divorced,may,5099,999,failure,1,no
88,2,-84,186.4,cellular,fri,no,514,basic.4y,-0.2,8.042,yes,blue-collar,no,divorced,nov,10392,1998,failure,2,no
77,3,-94.2,186.15,cellular,fri,no,685,basic.4y,-3.6,2.81,yes,blue-collar,no,married,apr,10198,1998,failure,2,no
307,13,-329.70000000000005,651.5250000000001,cellular,fri,no,1242,basic.4y,-12.600000000000001,9.908999999999999,yes,blue-collar,no,married,apr,35693,6993,nonexistent,0,no
29,1,-31.4,92.201,cellular,fri,no,98,basic.4y,-2.9,0.869,yes,blue-collar,no,married,aug,5076,999,failure,1,no
100,8,-72.2,186.888,cellular,fri,no,1031,basic.4y,2.8,9.929,yes,blue-collar,no,married,aug,10456,1998,nonexistent,0,no
164,11,-170.8,375.672,cellular,fri,no,831,basic.4y,5.6,19.839,yes,blue-collar,no,married,jul,20912,3996,nonexistent,0,no
56,1,-42.7,93.918,cellular,fri,no,641,basic.4y,1.4,4.957,yes,blue-collar,no,married,jul,5228,999,nonexistent,0,yes
56,1,-50,92.843,cellular,fri,no,283,basic.4y,-1.8,1.531,yes,blue-collar,no,married,mar,5099,999,nonexistent,0,yes
49,1,-46.2,92.893,cellular,fri,no,86,basic.4y,-1.8,1.313,yes,blue-collar,no,married,may,5099,999,failure,1,no
274,17,-323.4,650.2510000000001,cellular,fri,no,2223,basic.4y,-12.600000000000001,8.876,yes,blue-collar,no,married,may,35693,6993,nonexistent,0,no
154,5,-126,279.6,cellular,fri,no,363,basic.4y,-0.30000000000000004,12.062999999999999,yes,blue-collar,no,married,nov,15588,2997,nonexistent,0,no
53,1,-29.8,92.379,cellular,fri,no,85,basic.4y,-3.4,0.741,yes,blue-collar,no,married,sep,5018,999,nonexistent,0,no
74,3,-85.4,187.836,cellular,fri,no,253,basic.4y,2.8,9.919,yes,blue-collar,no,single,jul,10456,1998,nonexistent,0,no
76,11,-92.4,185.786,cellular,fri,no,100,basic.4y,-3.6,2.5629999999999997,yes,blue-collar,no,single,may,10198,1998,failure,2,no
160,17,-277.2,557.3580000000001,cellular,fri,no,582,basic.4y,-10.8,7.688999999999999,yes,blue-collar,no,single,may,30594,5994,nonexistent,0,no
23,2,-46.2,92.893,cellular,fri,no,523,basic.4y,-1.8,1.25,yes,blue-collar,no,single,may,5099,999,nonexistent,0,yes
33,1,-42,93.2,cellular,fri,no,451,basic.4y,-0.1,4.021,yes,blue-collar,no,single,nov,5196,999,nonexistent,0,no
33,1,-49.5,94.601,cellular,fri,no,146,basic.4y,-1.1,0.972,yes,blue-collar,no,single,oct,4964,999,failure,1,no
63,3,-31.4,92.201,cellular,fri,no,107,basic.4y,-2.9,0.869,yes,blue-collar,yes,married,aug,5076,999,nonexistent,0,no
54,1,-46.2,92.893,cellular,fri,no,192,basic.4y,-1.8,1.25,yes,blue-collar,yes,married,may,5099,999,failure,1,no
37,2,-46.2,92.893,cellular,fri,no,456,basic.4y,-1.8,1.313,yes,blue-collar,yes,married,may,5099,999,nonexistent,0,no
42,4,-42.7,93.918,cellular,fri,no,107,basic.4y,1.4,4.962,yes,blue-collar,yes,single,jul,5228,999,nonexistent,0,no
23,7,-46.2,92.893,cellular,fri,no,102,basic.4y,-1.8,1.25,yes,blue-collar,yes,single,may,5099,999,nonexistent,0,no
37,3,-47.1,93.075,cellular,fri,no,1130,basic.4y,-1.8,1.405,yes,entrepreneur,no,married,apr,5099,999,nonexistent,0,no
95,6,-72.2,186.888,cellular,fri,no,643,basic.4y,2.8,9.93,yes,housemaid,no,married,aug,10456,1998,nonexistent,0,no
32,1,-46.2,92.893,cellular,fri,no,240,basic.4y,-1.8,1.313,yes,housemaid,no,married,may,5099,999,nonexistent,0,no
114,2,-84,186.4,cellular,fri,no,171,basic.4y,-0.2,8.042,yes,housemaid,no,married,nov,10392,1998,nonexistent,0,no
39,2,-49.5,94.601,cellular,fri,no,135,basic.4y,-1.1,0.972,yes,housemaid,no,married,oct,4964,999,failure,2,no
53,2,-29.8,92.379,cellular,fri,no,129,basic.4y,-3.4,0.773,yes,housemaid,no,married,sep,5018,999,nonexistent,0,no
117,4,-108.30000000000001,280.332,cellular,fri,no,685,basic.4y,4.199999999999999,14.892000000000001,yes,housemaid,yes,married,aug,15684,2997,nonexistent,0,no
32,1,-46.2,92.893,cellular,fri,no,340,basic.4y,-1.8,1.313,yes,housemaid,yes,married,may,5099,999,nonexistent,0,no
57,1,-42,93.2,cellular,fri,no,75,basic.4y,-0.1,4.021,yes,housemaid,yes,married,nov,5196,999,failure,1,no
59,3,-40.3,94.215,cellular,fri,no,351,basic.4y,-1.7,0.885,yes,management,no,married,jul,4992,999,nonexistent,0,yes
57,2,-29.8,92.379,cellular,fri,no,122,basic.4y,-3.4,0.773,yes,management,no,married,sep,5018,999,failure,1,no
63,2,-31.4,92.201,cellular,fri,no,153,basic.4y,-2.9,0.869,yes,retired,no,divorced,aug,5076,3,success,1,no
81,3,-33,92.713,cellular,fri,no,166,basic.4y,-3,0.714,yes,retired,no,divorced,dec,5024,999,nonexistent,0,yes
59,5,-46.2,92.893,cellular,fri,no,27,basic.4y,-1.8,1.25,yes,retired,no,divorced,may,5099,999,nonexistent,0,no
78,2,-40,93.876,cellular,fri,no,218,basic.4y,-1.8,0.682,yes,retired,no,divorced,may,5009,7,success,2,no
78,2,-30.1,92.649,cellular,fri,no,182,basic.4y,-3.4,0.714,yes,retired,no,divorced,nov,5018,3,success,1,yes
293,6,-223,466.049,cellular,fri,no,1508,basic.4y,-9,6.259,yes,retired,no,married,apr,25405,4995,nonexistent,0,no
54,3,-47.1,93.075,cellular,fri,no,840,basic.4y,-1.8,1.405,yes,retired,no,married,apr,5099,999,nonexistent,0,yes
324,7,-171.1,464.734,cellular,fri,no,1112,basic.4y,-1.6,16.62,yes,retired,no,married,aug,25836,4995,nonexistent,0,no
217,5,-94.19999999999999,276.60299999999995,cellular,fri,no,1000,basic.4y,-8.7,2.6310000000000002,yes,retired,no,married,aug,15228,2997,nonexistent,0,yes
116,2,-62.8,184.402,cellular,fri,no,305,basic.4y,-5.8,1.718,yes,retired,no,married,aug,10152,18,success,2,yes
144,11,-80.6,188.43,cellular,fri,no,701,basic.4y,-3.4,1.644,yes,retired,no,married,jul,9984,1998,failure,2,no
76,2,-40,93.876,cellular,fri,no,1205,basic.4y,-1.8,0.684,yes,retired,no,married,may,5009,6,success,2,yes
56,2,-42,93.2,cellular,fri,no,481,basic.4y,-0.1,4.021,yes,retired,no,married,nov,5196,999,nonexistent,0,yes
63,1,-50.8,94.767,cellular,fri,no,413,basic.4y,-1.1,1.049,yes,retired,no,married,nov,4964,3,success,2,yes
146,4,-59.6,184.758,cellular,fri,no,254,basic.4y,-6.8,1.546,yes,retired,no,married,sep,10036,1998,nonexistent,0,no
81,1,-29.8,92.379,cellular,fri,no,210,basic.4y,-3.4,0.741,yes,retired,no,married,sep,5018,999,nonexistent,0,yes
41,1,-49.5,94.601,cellular,fri,no,278,basic.4y,-1.1,0.942,yes,retired,no,single,oct,4964,999,nonexistent,0,no
75,3,-46.2,92.893,cellular,fri,no,83,basic.4y,-1.8,1.259,yes,retired,yes,divorced,may,5099,999,nonexistent,0,no
61,1,-31.4,92.201,cellular,fri,no,69,basic.4y,-2.9,0.849,yes,retired,yes,married,aug,5076,999,failure,1,no
131,4,-67.5,185.64499999999998,cellular,fri,no,224,basic.4y,-1.5,5.844,yes,retired,yes,married,aug,10304,1998,nonexistent,0,no
61,1,-31.4,92.201,cellular,fri,no,374,basic.4y,-2.9,0.849,yes,retired,yes,married,aug,5076,999,nonexistent,0,yes
75,2,-33.6,92.469,cellular,fri,no,67,basic.4y,-2.9,1.059,yes,retired,yes,married,jul,5076,999,nonexistent,0,no
68,1,-40,93.876,cellular,fri,no,220,basic.4y,-1.8,0.684,yes,retired,yes,married,may,5009,6,success,1,yes
69,3,-26.9,92.431,cellular,fri,no,257,basic.4y,-3.4,0.72,yes,retired,yes,married,oct,5018,999,nonexistent,0,yes
103,4,-85.4,187.836,cellular,fri,no,368,basic.4y,2.8,9.92,yes,services,no,married,jul,10456,1998,nonexistent,0,no
46,3,-46.2,92.893,cellular,fri,no,187,basic.4y,-1.8,1.313,yes,services,no,married,may,5099,999,failure,1,no
49,3,-42,93.2,cellular,fri,no,345,basic.4y,-0.1,4.021,yes,technician,no,married,nov,5196,999,nonexistent,0,no
53,10,-42,93.2,cellular,fri,no,80,basic.4y,-0.1,4.021,yes,unemployed,no,married,nov,5196,999,nonexistent,0,no
52,1,-46.2,92.893,cellular,fri,no,169,basic.4y,-1.8,1.259,yes,unemployed,no,single,may,5099,999,nonexistent,0,no
29,1,-50.8,94.767,cellular,fri,no,112,basic.4y,-1.1,1.028,yes,unemployed,no,single,nov,4964,9,success,1,no
28,2,-26.9,92.431,cellular,fri,no,160,basic.4y,-3.4,0.752,yes,unemployed,no,single,oct,5018,4,success,1,no
31,1,-42,93.2,cellular,fri,no,115,basic.4y,-0.1,4.021,yes,unemployed,yes,single,nov,5196,999,nonexistent,0,no
28,1,-26.9,92.431,cellular,fri,no,462,basic.4y,-3.4,0.752,yes,unemployed,yes,single,oct,5018,999,nonexistent,0,no
41,2,-47.1,93.075,cellular,fri,no,1203,basic.6y,-1.8,1.479,no,admin.,no,married,apr,5099,999,failure,1,yes
84,3,-92.4,185.786,cellular,fri,no,809,basic.6y,-3.6,2.509,no,admin.,no,married,may,10198,1998,failure,2,no
29,3,-46.2,92.893,cellular,fri,no,58,basic.6y,-1.8,1.25,no,admin.,no,married,may,5099,999,nonexistent,0,no
45,2,-42.7,93.918,cellular,fri,no,268,basic.6y,1.4,4.962,no,admin.,yes,married,jul,5228,999,nonexistent,0,no
41,1,-42.7,93.918,cellular,fri,no,159,basic.6y,1.4,4.963,no,blue-collar,no,divorced,jul,5228,999,nonexistent,0,no
156,7,-188.4,372.3,cellular,fri,no,1155,basic.6y,-7.2,5.62,no,blue-collar,no,married,apr,20396,3996,failure,5,no
201,10,-235.5,465.375,cellular,fri,no,1753,basic.6y,-9,7.099000000000001,no,blue-collar,no,married,apr,25495,4995,nonexistent,0,no
189,7,-144.4,373.776,cellular,fri,no,989,basic.6y,5.6,19.855,no,blue-collar,no,married,aug,20912,3996,nonexistent,0,no
50,3,-36.1,93.444,cellular,fri,no,733,basic.6y,1.4,4.966,no,blue-collar,no,married,aug,5228,999,nonexistent,0,yes
97,6,-128.10000000000002,281.754,cellular,fri,no,523,basic.6y,4.199999999999999,14.889,no,blue-collar,no,married,jul,15684,2997,nonexistent,0,no
37,3,-42.7,93.918,cellular,fri,no,640,basic.6y,1.4,4.957,no,blue-collar,no,married,jul,5228,999,nonexistent,0,yes
38,2,-39.8,94.055,cellular,fri,no,346,basic.6y,-1.7,0.707,no,blue-collar,no,married,jun,4992,5,success,3,no
187,14,-231,464.46500000000003,cellular,fri,no,458,basic.6y,-9,6.3759999999999994,no,blue-collar,no,married,may,25495,4995,failure,5,no
139,10,-184.8,371.572,cellular,fri,no,862,basic.6y,-7.2,5.189,no,blue-collar,no,married,may,20396,3996,nonexistent,0,no
44,2,-46.2,92.893,cellular,fri,no,611,basic.6y,-1.8,1.25,no,blue-collar,no,married,may,5099,999,nonexistent,0,yes
31,2,-42,93.2,cellular,fri,no,588,basic.6y,-0.1,4.021,no,blue-collar,no,married,nov,5196,999,failure,1,no
37,1,-42,93.2,cellular,fri,no,68,basic.6y,-0.1,4.021,no,blue-collar,no,married,nov,5196,999,nonexistent,0,no
29,3,-31.4,92.201,cellular,fri,no,260,basic.6y,-2.9,0.869,no,blue-collar,no,single,aug,5076,999,nonexistent,0,yes
52,5,-85.4,187.836,cellular,fri,no,352,basic.6y,2.8,9.92,no,blue-collar,no,single,jul,10456,1998,nonexistent,0,no
30,4,-46.2,92.893,cellular,fri,no,92,basic.6y,-1.8,1.25,no,blue-collar,no,single,may,5099,999,failure,1,no
78,4,-94.2,186.15,cellular,fri,no,379,basic.6y,-3.6,2.81,no,blue-collar,yes,married,apr,10198,1998,nonexistent,0,no
31,2,-42.7,93.918,cellular,fri,no,173,basic.6y,1.4,4.963,no,blue-collar,yes,married,jul,5228,999,nonexistent,0,no
38,2,-39.8,94.055,cellular,fri,no,148,basic.6y,-1.7,0.707,no,blue-collar,yes,married,jun,4992,3,success,2,no
43,3,-46.2,92.893,cellular,fri,no,67,basic.6y,-1.8,1.313,no,blue-collar,yes,married,may,5099,999,nonexistent,0,no
44,3,-42,93.2,cellular,fri,no,240,basic.6y,-0.1,4.021,no,blue-collar,yes,married,nov,5196,999,nonexistent,0,no
25,3,-42.7,93.918,cellular,fri,no,1127,basic.6y,1.4,4.957,no,blue-collar,yes,single,jul,5228,999,nonexistent,0,yes
43,1,-36.1,93.444,cellular,fri,no,618,basic.6y,1.4,4.964,no,housemaid,no,married,aug,5228,999,nonexistent,0,no
50,4,-47.1,93.075,cellular,fri,no,324,basic.6y,-1.8,1.405,no,management,no,married,apr,5099,999,nonexistent,0,no
42,1,-42,93.2,cellular,fri,no,133,basic.6y,-0.1,4.021,no,management,no,married,nov,5196,999,nonexistent,0,no
41,1,-29.8,92.379,cellular,fri,no,181,basic.6y,-3.4,0.803,no,management,no,married,sep,5018,999,nonexistent,0,no
52,2,-46.2,92.893,cellular,fri,no,154,basic.6y,-1.8,1.313,no,retired,no,divorced,may,5099,999,failure,1,no
78,2,-26.9,92.431,cellular,fri,no,631,basic.6y,-3.4,0.72,no,retired,no,divorced,oct,5018,999,failure,2,no
78,2,-26.9,92.431,cellular,fri,no,212,basic.6y,-3.4,0.72,no,retired,no,divorced,oct,5018,999,nonexistent,0,yes
32,3,-47.1,93.075,cellular,fri,no,211,basic.6y,-1.8,1.405,no,self-employed,no,married,apr,5099,999,nonexistent,0,no
39,2,-47.1,93.075,cellular,fri,no,286,basic.6y,-1.8,1.405,no,services,no,divorced,apr,5099,999,failure,1,no
53,1,-46.2,92.893,cellular,fri,no,101,basic.6y,-1.8,1.25,no,services,no,married,may,5099,999,failure,1,no
52,1,-42,93.2,cellular,fri,no,101,basic.6y,-0.1,4.021,no,services,no,married,nov,5196,999,nonexistent,0,no
51,1,-42.7,93.918,cellular,fri,no,484,basic.6y,1.4,4.963,no,services,no,single,jul,5228,999,nonexistent,0,no
78,2,-94.2,186.15,cellular,fri,no,1137,basic.6y,-3.6,2.8840000000000003,no,services,yes,married,apr,10198,1998,nonexistent,0,no
23,1,-39.8,94.055,cellular,fri,no,276,basic.6y,-1.7,0.748,no,student,no,single,jun,4992,14,success,1,yes
18,2,-26.9,92.431,cellular,fri,no,368,basic.6y,-3.4,0.72,no,student,yes,single,oct,5018,999,nonexistent,0,yes
39,1,-47.1,93.075,cellular,fri,no,158,basic.6y,-1.8,1.405,no,technician,yes,married,apr,5099,999,nonexistent,0,no
57,1,-33.6,92.469,cellular,fri,no,64,basic.6y,-2.9,1.059,no,unknown,no,married,jul,5076,999,nonexistent,0,no
37,1,-26.9,92.431,cellular,fri,no,93,basic.6y,-3.4,0.73,unknown,blue-collar,unknown,married,oct,5018,999,nonexistent,0,no
33,1,-46.2,92.893,cellular,fri,no,295,basic.6y,-1.8,1.313,unknown,blue-collar,unknown,single,may,5099,999,nonexistent,0,no
60,2,-40.8,92.963,cellular,fri,no,110,basic.6y,-2.9,1.268,unknown,retired,unknown,married,jun,5076,999,nonexistent,0,no
53,1,-47.1,93.075,cellular,fri,no,100,basic.6y,-1.8,1.405,yes,admin.,no,married,apr,5099,999,nonexistent,0,no
47,1,-42.7,93.918,cellular,fri,no,426,basic.6y,1.4,4.962,yes,admin.,no,married,jul,5228,999,nonexistent,0,no
29,6,-46.2,92.893,cellular,fri,no,16,basic.6y,-1.8,1.25,yes,admin.,no,married,may,5099,999,failure,1,no
57,1,-46.2,92.893,cellular,fri,no,100,basic.6y,-1.8,1.259,yes,admin.,no,married,may,5099,999,nonexistent,0,no
36,1,-42,93.2,cellular,fri,no,72,basic.6y,-0.1,4.021,yes,admin.,no,married,nov,5196,999,nonexistent,0,no
29,3,-46.2,92.893,cellular,fri,no,135,basic.6y,-1.8,1.25,yes,admin.,no,single,may,5099,999,failure,1,no
36,1,-42,93.2,cellular,fri,no,183,basic.6y,-0.1,4.021,yes,admin.,yes,married,nov,5196,999,failure,1,no
49,2,-47.1,93.075,cellular,fri,no,441,basic.6y,-1.8,1.405,yes,admin.,yes,single,apr,5099,999,nonexistent,0,no
